Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard
1928,Qtr 2,June,22,Kansas,Douglas,Douglas M 4NC1059,Lebo Kansas,Transport Air National,0,1,1
1938,Qtr 1,March,1,Cailifornia,Douglas,Douglas DC 2,Near Wawona Cailifornia,Air Western and Continental Trans,0,9,9
1938,Qtr 3,August,10,Japan,Douglas,Douglas DF 151J,Shishijima Japan,Nippon Dai,0,6,6
1939,Qtr 1,March,26,Oklahoma,Douglas,Douglas DC 2,Oklahoma City Oklahoma,Airlines Braniff,0,8,12
1943,Qtr 1,January,15,Dutch,Douglas,Douglas C 54A42,Near Paramarino Dutch,Forces Air Army U.S. - GuyanaMilitary,0,35,35
1943,Qtr 3,July,28,Kentucky,Douglas,Douglas DC 3NC16014,Trammel Kentucky,Airlines American,0,20,22
1945,Qtr 1,March,27,off,Douglas,Douglas C 47A,Coral Sea off,Force Air U.S. - AustraliaMilitary,0,24,24
1945,Qtr 2,May,30,Ivory,Douglas,Douglas C 47B,Off Drewin Ivory,Forces Air Army U.S. - CoastMilitary,0,21,21
1945,Qtr 4,October,20,Atlantic,Douglas,Douglas C 47BA65,Timor Sea Atlantic,Force Air Australian Royal - OceanMilitary,0,25,25
1945,Qtr 4,October,24,Malta,Douglas,Douglas C 47 Skytrain (DC,Valetta Malta,BOAC,0,9,16
1945,Qtr 4,November,13,Philippines,Douglas,Douglas C 48VH,Near Tacloban Philippines,Airways National Australian,0,16,17
1946,Qtr 1,January,6,Alabama,Douglas,Douglas DC 3N21786,Birmingham Alabama,Airlines Central Pennsylvania,0,3,11
1946,Qtr 2,April,30,'-,Douglas,Douglas C 47A FZ559,Pindi-Khut  -,Force Air Royal,0,12,12
1946,Qtr 2,June,9,Nigeria,Douglas,Douglas C 47 DakotaKG747,Near Abeokuta Nigeria,Force Air -Royal Military,0,18,18
1946,Qtr 4,November,26,Costa,Douglas,Douglas DC 3 (C,San Jose Costa,LACSA  Costarricenses Aéreas RicaLineas,0,22,22
1947,Qtr 1,February,5,Delaware,Douglas,Douglas DC 3NC54451,Harrington Delaware,Freight Air International,0,1,3
1947,Qtr 1,February,26,Pacific,Douglas,Douglas C 47BKK120,China Sea Pacific,Force Air Royal - OceanMilitary,0,12,12
1947,Qtr 2,April,8,Venezuela,Douglas,Douglas C 47AYV,Near Caracas Venezuela,Venezolana Aeropostal Linea,0,27,27
1947,Qtr 2,May,29,Iceland,Douglas,Douglas DC 3TF,Hjedinsfjordur Iceland,Flugefelag,0,25,25
1947,Qtr 2,May,29,Queens,Douglas,Douglas C 54BNC30046,La Guardia Airport Queens,New York United Air Lines,0,43,48
1947,Qtr 4,December,10,Labrador,Douglas,Douglas C 54D,Near Goose Bay Labrador,Force Air U.S. - Military,0,23,29
1948,Qtr 1,January,11,Dominican,Douglas,Douglas DC 3HI,Ciudad Havajillo Dominican,RepublicDominicana,0,32,32
1948,Qtr 1,March,2,London,Douglas,Douglas DC 3OO,Heathrow Airport London,England Sabena,0,20,22
1948,Qtr 2,May,13,Belgian,Douglas,Douglas DC 4,Near Magazini Belgian,(Zaire)Sabena Congo,0,31,32
1948,Qtr 3,July,4,Middlesex,Douglas,Douglas DC 6 / RAF YorkSE,Northolt Middlesex,England Scandinavian Airlines (SAS),0,39,39
1948,Qtr 4,December,21,Hong,Douglas,Douglas C 54B,Basalt Island Hong,Corporation Aviation National KongChina,0,33,33
1949,Qtr 1,February,19,Warks,Douglas,Douglas DC 3 / Avro AnsonG,Near Coventry Warks,England British European Airways / Military - British,0,14,14
1949,Qtr 3,August,9,Oman,Douglas,Douglas C 47BKN336,Salalah Oman,Force Air Royal - Military,0,12,12
1949,Qtr 3,August,27,Zaire,Douglas,Douglas C 47B,Leopoldville Zaire,Sabena,0,5,20
1949,Qtr 3,September,9,PQ,Douglas,Douglas DC 3CF,Sault-aux-Cochons PQ,Canada Canadian Pacific Air Lines,0,23,23
1949,Qtr 4,December,12,D.C.Capital,Douglas,Douglas DC 3,Washington D.C.Capital,Airlines,0,6,23
1950,Qtr 1,January,24,Air,Douglas,Douglas DC 3PI,Iloilo Air,Lines,0,4,4
1950,Qtr 1,January,26,Yukon,Douglas,Douglas C 54D,Near Snag Yukon,Force Air U.S. - TerritoryMilitary,0,44,44
1950,Qtr 1,March,25,Turkey,Douglas,Douglas DC 3TC,Ankara Turkey,Yollairi Hava Devlet,0,15,15
1950,Qtr 2,June,23,18,Douglas,Douglas DC 4N95425,Lake Michigan 18,Michigan       Harbor Benton of NNW Northwest Orient Airlines,0,58,58
1950,Qtr 3,July,18,Angola,Douglas,Douglas DC 3CR,Near Bocoio Angola,Airlines Angola DTA,0,9,9
1950,Qtr 3,September,20,Marshall,Douglas,Douglas R5D 356496,Kwajalein Marshall,Navy U.S. - IslandsMilitary,0,26,26
1950,Qtr 4,November,25,Bhutan,Douglas,Douglas C 47AVT,Khitka Bhutan,Indamer,0,3,3
1951,Qtr 1,January,13,Besar,Douglas,Douglas DC 3VR,Mt. Bukit Besar,Thailand Air Carriers,0,10,10
1951,Qtr 1,February,3,Buea,Douglas,Douglas DC 4F,Near Mt. Cameroon Buea,British Cameroons Air France,0,29,29
1951,Qtr 4,October,27,Guatemala,Douglas,Douglas C 47FAGO961,Near Flores Guatemala,Force Air Guatemalan - Military,0,27,29
1952,Qtr 4,November,6,Chad,Douglas,Douglas C 54B,Lake Chad Chad,Transport de Aeromaritime Union,0,5,6
1952,Qtr 4,December,6,Bermuda,Douglas,Douglas DC 4CU,Off Bermuda-Kindley Field Bermuda,Aviacion de Cubana,0,37,41
1953,Qtr 1,January,26,Sardinia,Douglas,Douglas DC 3I,Sinnai Sardinia,Italy Linee Aeree Italiane,0,19,19
1953,Qtr 2,June,18,Tokyo,Douglas,Douglas C 124A Globemaster II51,Tachikawa AFB Tokyo,Japan Military - U.S. Air Force,0,129,129
1953,Qtr 3,July,12,325,Douglas,Douglas DC 6AN90806,Pacific Ocean 325,Lines Air IslandTransocean Wake of east miles,0,58,58
1954,Qtr 1,January,2,Afghanistan,Douglas,Douglas DC 3?,Herat Afghanistan,Airlines Afghan Ariana,0,21,21
1954,Qtr 1,January,12,Czech,Douglas,Douglas C 47 Skytrain (DC,Prague Czech,Airlines RepublicCzech,0,13,18
1954,Qtr 4,November,16,de,Douglas,Douglas DC 3FAP,Jirishanga de,Peru          Pasco TAM (Brazil),0,24,24
1954,Qtr 4,December,12,Slovakia,Douglas,Douglas C 47AOK,Bratislava Slovakia,Aerolinie Ceskoslovenské,0,4,4
1955,Qtr 3,August,30,Nepal,Douglas,Douglas C 47AVT,Simra Nepal,Airlines Kalinga,0,2,3
1955,Qtr 4,November,17,Washingon,Douglas,Douglas C 54N88852,Seattle Washingon,Peninsular,0,28,74
1957,Qtr 2,May,13,Greenland,Douglas,Douglas DC 4N68736,Narsarressuak Greenland,Airways Overseas U.S.,0,2,3
1958,Qtr 2,April,21,10,Douglas,Douglas DC 7 / F,Near Sloan 10,Nevada      Vegas Las of SW miles United Air Lines / Military - U.S. Air Force,0,49,49
1958,Qtr 3,July,9,Baangladesh,Douglas,Douglas C 47AVT,Dhaka Baangladesh,Airlines Indian,0,3,3
1958,Qtr 3,August,11,"Brazil	Loide",Douglas,Douglas DC 4PP,"Near Belem Brazil	Loide",Nacional Aéreo,0,10,11
1958,Qtr 4,December,26,Zimbabwe,Douglas,Douglas DC 6BF,Salisbury Zimbabwe,Zimbabwe)Union Aeromaritime de Transport          (Harare,0,3,70
1959,Qtr 2,May,15,Aregntina,Douglas,Douglas DC 3LV,Off Mar del Plata Aregntina,Argentinas Aerolineas,0,10,10
1960,Qtr 3,July,15,Ethiopia,Douglas,Douglas DC 3ET,Near Jima Ethiopia,Airlines Ethiopian,0,1,11
1960,Qtr 3,September,19,Guam,Douglas,Douglas DC 6ABN90779,Agana Guam,Mariana Islands World Airways,0,80,94
1961,Qtr 1,January,3,Finland,Douglas,Douglas DC 3OH,Koivulahti Finland,Finnair,0,25,25
1961,Qtr 3,September,6,SC,Douglas,Douglas C 47A (DC,Concordia SC,Brazil REAL Transportes Aereos,0,4,4
1961,Qtr 3,September,17,Zambia,Douglas,Douglas DC 6BSE,Ndola Zambia,Sweden Transair,0,16,16
1963,Qtr 1,March,15,Volcano,Douglas,Douglas DC 6BCP,Near Tacora Volcano,Peru Lloyd Aereo Boliviano,0,39,39
1963,Qtr 2,June,3,116,Douglas,Douglas DC 7CFN290,Pacific Ocean 116,Alaska      Island Annette of WSW miles Northwest Orient Airlines,0,101,101
1963,Qtr 4,November,8,Aaland,Douglas,Douglas DC 3OH,Mariehamn Aaland,Finland          Island Finnair,0,22,24
1964,Qtr 1,March,10,Massachutes,Douglas,Douglas DC 4N384,Boston Massachutes,Cargo - Airways Slick,0,3,3
1964,Qtr 2,April,12,Somalia,Douglas,Douglas DC 3VR,Hargeisa Somalia,Airways Aden,0,15,15
1964,Qtr 2,June,13,Saudia,Douglas,Douglas C 47AHZ,Jeddah Saudia,Saudia Arabia          ArabiaJeddah Saudi Arabian Airlines,0,2,2
1964,Qtr 4,October,2,Granada,Douglas,Douglas DC 6BF,Near Trevelez Granada,Spain Union des Transportes Aeriens,0,80,80
1964,Qtr 4,November,29,Democratic,Douglas,Douglas DC 4OO,Leopoldville Democratic,(BIAS)? Congo CongoAir the of Republic,0,6,14
1965,Qtr 1,February,8,Wantagh,Douglas,Douglas DC 7BN849D,Off Jones Beach Wantagh,New York Eastern Air Lines,0,84,84
1965,Qtr 2,April,14,Channel,Douglas,Douglas C 47BG,Jersey Channel,UKBritish United Airways          Islands,0,26,27
1965,Qtr 3,September,11,Phillipines,Douglas,Douglas DC 3API,Near La Carlota Phillipines,Airways Orient Filipinas,0,11,11
1966,Qtr 1,January,1,Sumatra,Douglas,Douglas DC 3 / Douglas DC,Near Palembang Sumatra,Indonesia Garuda  Indonesia Airlines / Garuda Indonesia Airlines,0,34,34
1966,Qtr 1,January,22,Haiti,Douglas,Douglas DC 3N4662,Port-au-Prince Haiti,COHATA,0,30,35
1967,Qtr 3,July,19,Malagasy,Douglas,Douglas DC 4,Tananarive Malagasy,Madagascar RepublicAir,0,42,42
1968,Qtr 1,March,9,Reunion,Douglas,Douglas DC6B43748,Near Saint Denis Reunion,Force Air French - Military,0,19,20
1969,Qtr 2,April,24,Ghana,Douglas,Douglas DC 39G,Near Takoradi Ghana,Airways Ghana,0,1,33
1970,Qtr 1,January,13,Western,Douglas,Douglas DC 35W,Faleolo Western,Airlines SamoaPolynesian,0,32,32
1970,Qtr 3,July,3,Alakska,Douglas,Douglas DC 3N154R,McGrath Alakska,Service Flying Reeder,0,5,27
1972,Qtr 4,October,2,Cambodia,Douglas,Douglas DC 3XW,Kampot Cambodia,Air Cambodia,0,9,9
1973,Qtr 2,May,29,Prov.,Douglas,Douglas DC 3CF,Near Rimouski Prov.,Canada          Quebec Air Gaspé,0,4,4
1974,Qtr 2,April,4,Botswana,Douglas,Douglas DC 4A2,Francistown Botswana,Services Air Wenela,0,78,84
1976,Qtr 3,August,9,"Spain
	
Moron",Douglas,Douglas C 54ET4/11,"Moron AFB Spain
	
Moron",SpainMoron AFB          AFB,0,12,32
1981,Qtr 4,November,30,Saint,Douglas,Douglas DC 6AN3486F,Castries Saint,Airways IslandGuyana Lucia,0,3,3
1908,Qtr 3,September,17,Virginia,Wright Flyer,Wright Flyer III?,Fort Myer Virginia,Army U.S. - Military,0,1,2
1912,Qtr 3,July,12,New,Dirigible?,Dirigible?,Atlantic City New,Navy U.S. - JerseyMilitary,0,5,5
1913,Qtr 3,August,6,British,Curtiss,Curtiss seaplane?,Victoria British,Canada          Columbia Private,0,1,1
1913,Qtr 4,October,17,Germany,Zeppelin,Zeppelin L 2 (airship)?,Near Johannisthal Germany,Navy German - Military,0,28,28
1916,Qtr 3,July,28,Bulgeria,Schutte,Schutte  Lanz S,Near Jambol Bulgeria,Army German - Military,0,20,20
1917,Qtr 2,May,14,North,Zeppelin,Zeppelin L 22 (airship)?,Near Texel Island North,Navy German - SeaMilitary,0,21,21
1919,Qtr 2,May,25,Ohio,De Havilland,De Havilland DH 461,Cleveland Ohio,Service Mail Aerial US,0,1,1
1919,Qtr 3,August,2,Italy,Caproni,Caproni Ca.48?,Verona Italy,Company Caproni,0,14,14
1919,Qtr 4,October,20,Kent,De Havilland,De Havilland DH 4G,English Channel off Forkstone Kent,Travel and Transport Aircraft,0,0,0
1919,Qtr 4,December,11,Surrey,De Havilland,De Havilland DH 4G,Catherham Surrey,UKAircraft Travel Transport,0,1,1
1920,Qtr 3,July,20,Columbia,Farman,Farman F 40?,Cartagena Columbia,Aérea Navegación de Colombiana Compañia,0,1,1
1920,Qtr 4,October,5,Spain,Breguet,Breguet 14F ALTA,Valencia Spain,Airlines Latecoere,0,2,2
1921,Qtr 2,April,6,Australia,Avro,Avro 504H3021,Point Cook Australia,Force Air Australian Royal - Military,0,2,2
1921,Qtr 2,April,21,NYUS,De Havilland,De Havilland DH 4160,Mitchel Field NYUS,Service Mail Aerial,0,1,1
1922,Qtr 3,July,16,Lorraine,Potez,Potez 29F FREI,Near Saverne Lorraine,France Compagnie Franco-Roumaine de Navigaation Aerienne,0,5,5
1922,Qtr 4,October,2,Italyde,De Havilland,de Havilland DH 9G,Venice Italyde,Service Air Havilland,0,4,4
1922,Qtr 4,October,25,Morocco,Breguet,Breguet 14?,Larache Morocco,Aeriens Express Grands,0,2,2
1923,Qtr 2,May,14,Picrdie,Farman,Farman F 60 GoliathF,Near Amiens Picrdie,France Grands Express Aeriens (Air Union),0,6,6
1923,Qtr 3,August,27,Romania,Blériot Spad,Blériot Spad 46F AEGN,Bucharest Romania,Roumaine France Campagnie,0,2,2
1923,Qtr 3,August,27,United,Farman F.60,Farman F.60 GoliathF AECB,East Mallling United,Union KingdomAir,0,1,11
1923,Qtr 3,September,14,Buckinghamshire,De Havilland,de Havilland DH 34G,Near Ivinghoe Buckinghamshire,England Daimler Airways,0,5,5
1924,Qtr 2,June,8,Colombia,Junkers,Junkers F 13A16,Barranquilla Colombia,SCADTA,0,5,5
1925,Qtr 1,March,22,Georgia,Junkers,Junkers F 13R,Near Tiflis Georgia,USSRZakavia,0,5,5
1925,Qtr 3,July,24,Hungary,Potez,Potez IX?,Budapest Hungary,CIDNA,0,1,1
1925,Qtr 4,November,14,Mauritania,Breguet,Breguet 14F AEGZ,Nouadhibou Mauritania,Latecoere Aeriennes Lignes,0,1,1
1926,Qtr 3,July,3,Czechoslovakia,Caudron,Caudron C 61F,Rossaugpt Czechoslovakia,Aérienne Navigation de Internationale Compagnie,0,6,6
1926,Qtr 4,December,16,Oregon,Ryan,Ryan M 12,Medford Oregon,Transport Air Pacific,0,1,1
1927,Qtr 1,March,24,Qld,De Havilland,de Havilland DH 9CG,Tambo Qld,Australia Qantas,0,3,3
1927,Qtr 2,April,15,Idaho,"Swallow
Swallow?","Swallow
Swallow?",King Hill Idaho,Lines Air Varney,0,1,1
1927,Qtr 2,May,2,Algeria,SPCA Meteore,SPCA Meteore 63F AIFN,Algiers Algeria,Union Air,0,1,3
1927,Qtr 3,September,3,Connecticut,Fokker UniversalNC52,"Fokker UniversalNC52  	
NC52",Willington Connecticut,Transport Air Colonial,0,1,1
1928,Qtr 1,January,16,Uruguay,Latecoere,Latecoere 25F AIKG,Solis Uruguay,Aeropostale,0,2,2
1928,Qtr 1,February,26,Nebraska,Boeing,Boeing 40NC280,Marquette Nebraska,Transport Air Boeing,0,1,2
1928,Qtr 2,May,7,"Brazil
Florianopolis",Latecoere,Latecoere 26F AIMQ,"Florianopolis Brazil
Florianopolis",BrazilFlorianopolis,0,1,5
1928,Qtr 2,May,12,Minnesota,Ford,Ford 4NC1492,Dearborn Minnesota,Inc. Freight Air Ford,0,2,2
1928,Qtr 3,July,24,Netherlands,Fokker (KLM),Fokker (KLM) F.IIIH NABR,Waalhaven Netherlands,Airlines Dutch Royal KLM,0,1,6
1928,Qtr 3,August,25,BC,Ford,Ford 4 AT,Near Port Townsend BC,Canada British Columbia Airways,0,7,7
1928,Qtr 4,December,1,Texas,Ford,Ford 4 AT,Spur Texas,Co. Transport Air Sunbeam,0,5,5
1928,Qtr 4,December,10,Washington,Ford,Ford Tri motor 4NC7687,Spokan Washington,Airways Spokane,0,5,5
1928,Qtr 4,December,23,Tennessee,Fairchild,Fairchild FC 2?,Chattanooga Tennessee,Airlines Interstate,0,4,4
1929,Qtr 1,January,25,Greece,CMASA,CMASA WalI AZDA,Near Corfu Greece,Aeroespresso,0,2,9
1929,Qtr 1,January,31,West,Travel Air,Travel Air 4000NC6480,Morgantown West,Company Transportation VirginiaSkyline,0,1,1
1929,Qtr 1,March,30,California,Fokker,Fokker F VIIANC7888,Near Beaumont California,Airlines Standard New,0,4,4
1929,Qtr 2,May,9,Mexico,Ford,Ford Tri motor 4M,Tampico Mexico,Mexicana,0,5,5
1929,Qtr 2,May,18,,Fokker,Fokker F IIIH,Tököl,HungaryMALERT Pest,0,2,2
1929,Qtr 2,June,13,Cuba,Fokker,Fokker F XNC9700,Santiago de Cuba Cuba,Airways American Pan,0,2,5
1929,Qtr 2,June,29,Bavaria,Domier Delphin III (flying,Domier Delphin III (flying boat)D 1620,Near Lindau Bavaria,Germany Bodensee Aerolloyd,0,5,5
1929,Qtr 3,August,24,Russia,Kalinin,Kalinin K 4CCCP,Sochi Russia,Ukvozduchput,0,1,1
1929,Qtr 3,September,3,near,Ford,Ford 5 AT,Mt. Taylor near,New Mexico          Grants Trans Continental Air Transport,0,8,8
1929,Qtr 3,September,6,Iran,De Havilland,de Havilland DH 66 HerculesG,Jask Iran,Airways Imperial,0,3,5
1929,Qtr 3,September,14,Ontario,Travel Air,Travel Air 6000CF ABE,Saint Catharines Ontario,Skyways,0,6,6
1929,Qtr 4,November,20,East,Savoia Marchetti,Savoia Marchetti S55I TACO,Terranova Pausania East,Mediterranea Aerea Società SardiniaS.A.M.,0,1,12
1930,Qtr 1,January,13,Madagascar,Farman,Farman 190F AJJK,Antananarivo Madagascar,Orient Air,0,3,3
1930,Qtr 1,January,27,Missouri,Travel Air,Travel Air A6000A?,Kansas City Missouri,Corporation) Aviation (Universal Airlines  Central,0,5,5
1930,Qtr 3,July,7,Denmark,Dornier,Dornier WalD 864,Bornholm Denmark,Lufthansa Deutsche,0,5,8
1930,Qtr 3,September,25,Alberta,Boeing,Boeing 40CF AIN,Edmonton Alberta,Canada Western Canada Airways,0,3,3
1930,Qtr 4,November,7,Brazil,Junkers,Junkers G 24P,Off of Santos Brazil,Condor Syndicato,0,1,9
1930,Qtr 4,December,9,China,Loening,Loening C W Air Yaht?,Shanghai China,Corporation Aviation National China,0,4,6
1931,Qtr 3,September,15,Oltenia,Fokker,Fokker F VIIb,Near Craiova Oltenia,Romania CIDNA,0,6,6
1931,Qtr 4,November,13,South,De Havilland,De Havilland DH.80ZS ACD,Sir Lowry's pass South,Airways AfricaUnion,0,3,3
1932,Qtr 1,January,21,Ilinois,Stinson,Stinson SM 2ANC443H,Colvin Park Ilinois,Airways Northwest,0,1,1
1932,Qtr 1,February,1,Florida,Fairchild?,Fairchild?,Off Miami Florida,Airways Bimini,0,5,5
1932,Qtr 1,February,2,Michigan,Stearman,Stearman C 3MBNC6411,Marcellus Michigan,Airlines Transamerican,0,1,1
1932,Qtr 4,October,26,Bolivia,Ford,Ford Tri motor 5?,Villa Monte Bolivia,Boliviano Aero Lloyd,0,2,2
1932,Qtr 4,November,25,Arkansas,Travel Air 6000,Travel Air 6000 NC369M,Marianna Arkansas,Airways Hunter,0,2,2
1933,Qtr 2,April,23,Calabria,Cams,Cams 53 1F,Near Castrovillari Calabria,Italy Air Orient,0,5,8
